final,ret_pct,mdd_pct,trades,reached,reach_date,reach_days,ticker,entry,exit,name
4045122.137483121,304.5122137483121,-32.62157814936258,5,True,2025-03-17,228,065500,1|Momentum,SL10+<SMA20,오리엔트정공
3989679.3344028373,298.96793344028373,-43.39845433491193,42,True,2025-03-17,228,065500,1|Momentum,TP15+SL6+HOLD15,오리엔트정공
3889937.1191475433,288.99371191475433,-48.53239339391799,18,True,2025-03-17,228,065500,1|Momentum,TP30+SL10,오리엔트정공
3813579.597023761,281.3579597023761,-45.896779761951215,53,True,2025-03-17,228,065500,1|Momentum,SL10+TR8,오리엔트정공
3642721.4383073146,264.27214383073147,-50.60180437481164,34,True,2025-03-17,228,065500,1|Momentum,TR12,오리엔트정공
3591246.920558887,259.1246920558887,-33.44602970808677,34,True,2025-03-17,228,065500,1|Momentum,SL10+TR8,오리엔트정공
3305056.6426702808,230.5056642670281,-38.968914113500766,20,True,2025-03-17,228,065500,1|Momentum,TR12,오리엔트정공
3264615.5188523117,226.4615518852312,-37.703658751284024,23,True,2025-03-17,228,065500,1|Momentum,TP20+SL8,오리엔트정공
3237930.0577738583,223.79300577738582,-37.95879105197208,25,True,2025-03-17,228,065500,1|Momentum,TP15+SL6+HOLD15,오리엔트정공
2944158.4092433257,194.41584092433257,-43.41781678841222,6,True,2025-03-17,228,065500,1|Boll_breakout,SL10+<SMA20,오리엔트정공
2934777.201949807,193.47772019498072,-32.544081339712925,4,True,2025-03-17,228,065500,1|MA_cross,SL10+<SMA20,오리엔트정공
2862603.5467669237,186.26035467669237,-38.094844839995936,9,True,2025-04-02,244,065500,1|Momentum,TP30+SL10,오리엔트정공
8782584.832231626,778.2584832231626,-38.97852941793503,6,True,2025-05-08,280,214610,1|MA_cross,SL10+<SMA20,더바이오메드
7792496.16216347,679.249616216347,-24.227299995048256,6,True,2025-05-08,280,214610,1|MA_cross,TP15+SL6+HOLD15,더바이오메드
7535150.906303468,653.5150906303469,-27.81622849031718,6,True,2025-05-08,280,214610,1|MA_cross,TP20+SL8,더바이오메드
7358314.809723201,635.8314809723202,-27.015736062290372,6,True,2025-05-08,280,214610,1|MA_cross,TR12,더바이오메드
6828123.415391394,582.8123415391394,-23.78791743832907,6,True,2025-05-08,280,214610,1|MA_cross,SL10+TR8,더바이오메드
6823510.84342311,582.3510843423111,-26.990966658244332,7,True,2025-05-08,280,214610,1|MA_cross,SL10+TR8,더바이오메드
5484884.201195904,448.48842011959044,-48.023662976497036,7,True,2025-05-08,280,214610,1|MA_cross,SL10+<SMA20,더바이오메드
5373251.731631717,437.32517316317166,-48.67821647877165,5,True,2025-05-08,280,214610,1|MA_cross,TP30+SL10,더바이오메드
5285944.890162526,428.59448901625257,-39.67184177034498,7,True,2025-05-08,280,214610,1|MA_cross,TP15+SL6+HOLD15,더바이오메드
4829635.850409429,382.96358504094286,-42.18120036223741,7,True,2025-05-08,280,214610,1|MA_cross,TR12,더바이오메드
4244139.856875447,324.41398568754465,-49.39948212378995,7,True,2025-05-08,280,214610,1|MA_cross,TP20+SL8,더바이오메드
3727283.664307873,272.72836643078733,-55.56167090488714,7,True,2025-05-08,280,214610,1|MA_cross,TP30+SL10,더바이오메드
4292232.843224161,329.2232843224161,-15.508547448012958,5,True,2025-05-13,285,119850,1|MA_cross,SL10+<SMA20,지엔씨에너지
4865936.482045565,386.5936482045565,-11.129853479853487,3,True,2025-05-14,286,019490,1|Boll_breakout,SL10+TR8,엑시큐어하이트론
4711015.77410003,371.101577410003,-10.866910866910866,2,True,2025-05-14,286,019490,1|Boll_breakout,TR12,엑시큐어하이트론
4289811.919817528,328.98119198175283,-13.263941435410171,4,True,2025-05-14,286,019490,1|Breakout,SL10+TR8,엑시큐어하이트론
4153233.749916726,315.3233749916726,-16.025426639093492,3,True,2025-05-14,286,019490,1|Breakout,TR12,엑시큐어하이트론
5289549.347188584,428.9549347188584,-24.53229469349854,12,True,2025-05-15,287,419530,1|Momentum,TP20+SL8,SAMG엔터
5267079.147859528,426.7079147859528,-25.77239462577538,8,True,2025-05-15,287,419530,1|Momentum,TP30+SL10,SAMG엔터
5129242.558977487,412.9242558977486,-26.076390965754314,6,True,2025-05-15,287,419530,1|Momentum,TR12,SAMG엔터
4836398.4301767,383.63984301767005,-24.67684032502308,7,True,2025-05-15,287,419530,1|Momentum,TP30+SL10,SAMG엔터
4836398.430176699,383.6398430176699,-25.59850477925632,7,True,2025-05-15,287,419530,1|Momentum,TR12,SAMG엔터
4759067.609174543,375.9067609174543,-25.59850477925629,7,True,2025-05-15,287,419530,1|Momentum,TR12,SAMG엔터
4759067.609174542,375.90676091745416,-24.676840325023072,7,True,2025-05-15,287,419530,1|Momentum,TP30+SL10,SAMG엔터
4757654.677888524,375.76546778885233,-25.292543226086018,11,True,2025-05-15,287,419530,1|Momentum,TP20+SL8,SAMG엔터
4681582.917549201,368.1582917549202,-25.29254322608605,11,True,2025-05-15,287,419530,1|Momentum,TP20+SL8,SAMG엔터
4647658.806967788,364.7658806967788,-21.4349841772152,6,True,2025-05-15,287,419530,1|Breakout,TP30+SL10,SAMG엔터
4607138.346905281,360.7138346905281,-24.53229469349853,11,True,2025-05-15,287,419530,1|Momentum,TP20+SL8,SAMG엔터
4600283.852474815,360.02838524748154,-24.22194856051742,15,True,2025-05-15,287,419530,1|Momentum,TP15+SL6+HOLD15,SAMG엔터
4568778.847776882,356.8778847776882,-25.772394625775373,8,True,2025-05-15,287,419530,1|Momentum,TP30+SL10,SAMG엔터
4529032.656872695,352.9032656872696,-26.80987166602421,23,True,2025-05-15,287,419530,1|Momentum,SL10+TR8,SAMG엔터
4478760.224450368,347.8760224450369,-28.882498972976233,26,True,2025-05-15,287,419530,1|Momentum,SL10+<SMA20,SAMG엔터
4402084.645657788,340.2084645657788,-28.88249897297623,26,True,2025-05-15,287,419530,1|Momentum,SL10+<SMA20,SAMG엔터
5043308.043644297,404.3308043644297,-16.807325949367083,7,True,2025-05-16,288,419530,1|Momentum,TP30+SL10,SAMG엔터
4661025.43815933,366.10254381593296,-24.985323466051252,16,True,2025-05-16,288,419530,1|Momentum,TP15+SL6+HOLD15,SAMG엔터
4615192.282701273,361.51922827012737,-24.615528720727472,13,True,2025-05-16,288,119850,1|Momentum,TR12,지엔씨에너지
3927395.51323939,292.73955132393905,-26.43063550156134,6,True,2025-05-16,288,083650,1|MA_cross,SL10+<SMA20,비에이치아이
5438421.771805052,443.8421771805052,-14.218749999999996,9,True,2025-05-19,291,419530,1|Momentum,TP20+SL8,SAMG엔터
4611594.887908965,361.15948879089655,-25.59850477925631,7,True,2025-05-19,291,419530,1|Momentum,TR12,SAMG엔터
4611594.887908964,361.15948879089643,-24.676840325023072,7,True,2025-05-19,291,419530,1|Momentum,TP30+SL10,SAMG엔터
4586498.715630464,358.6498715630464,-24.985323466051277,16,True,2025-05-19,291,419530,1|Momentum,TP15+SL6+HOLD15,SAMG엔터
4564447.591930344,356.4447591930343,-24.676840325023083,7,True,2025-05-19,291,419530,1|Momentum,TP30+SL10,SAMG엔터
4564447.591930343,356.44475919303426,-25.59850477925632,7,True,2025-05-19,291,419530,1|Momentum,TR12,SAMG엔터
4536511.271298481,353.65112712984813,-25.292543226086057,11,True,2025-05-19,291,419530,1|Momentum,TP20+SL8,SAMG엔터
4510681.885309383,351.0681885309383,-21.4349841772152,6,True,2025-05-19,291,419530,1|Breakout,TP30+SL10,SAMG엔터
4510681.885309383,351.0681885309383,-21.4349841772152,6,True,2025-05-19,291,419530,2|Breakout&Momentum,TP30+SL10,SAMG엔터
4490131.603349107,349.01316033491076,-25.29254322608605,11,True,2025-05-19,291,419530,1|Momentum,TP20+SL8,SAMG엔터
4474943.372563768,347.4943372563768,-26.80987166602427,22,True,2025-05-19,291,419530,1|Momentum,SL10+TR8,SAMG엔터
4449216.396927837,344.9216396927837,-26.076390965754324,6,True,2025-05-19,291,419530,1|Momentum,TR12,SAMG엔터
4444373.513338492,344.4373513338492,-24.985323466051295,16,True,2025-05-19,291,419530,1|Momentum,TP15+SL6+HOLD15,SAMG엔터
4336275.017571481,333.6275017571481,-26.809871666024215,22,True,2025-05-19,291,419530,1|Momentum,SL10+TR8,SAMG엔터
4265674.017516032,326.5674017516032,-28.88249897297625,26,True,2025-05-19,291,419530,1|Momentum,SL10+<SMA20,SAMG엔터
4226919.393938144,322.6919393938144,-28.88249897297623,26,True,2025-05-19,291,419530,1|Momentum,SL10+<SMA20,SAMG엔터
3292221.7279331735,229.22217279331733,-22.54031403847277,2,True,2025-05-19,291,019490,1|Boll_breakout,SL10+<SMA20,엑시큐어하이트론
3149151.5777005195,214.91515777005196,-26.435278541473274,9,True,2025-05-19,291,019490,1|Breakout,TP20+SL8,엑시큐어하이트론
2905762.5317838015,190.57625317838017,-30.39037109300697,3,True,2025-05-19,291,019490,1|Breakout,SL10+<SMA20,엑시큐어하이트론
4466131.334074241,346.61313340742413,-24.615528720727472,21,True,2025-05-20,292,119850,1|Momentum,TP15+SL6+HOLD15,지엔씨에너지
4370408.471029196,337.04084710291954,-24.454884490429162,10,True,2025-05-20,292,119850,1|Momentum,TP30+SL10,지엔씨에너지
2368010.3196384045,136.80103196384044,-41.99197591083914,6,True,2025-05-20,292,019490,1|Breakout,TP30+SL10,엑시큐어하이트론
4571313.10051954,357.131310051954,-16.807325949367083,2,True,2025-05-26,298,419530,1|Breakout,SL10+<SMA20,SAMG엔터
4157490.3980755126,315.74903980755124,-24.98532346605125,17,True,2025-05-26,298,419530,1|Momentum,TP15+SL6+HOLD15,SAMG엔터
4083719.9889213005,308.3719988921301,-24.841369815673428,18,True,2025-05-26,298,419530,1|Momentum,SL10+TR8,SAMG엔터
4056369.6311442535,305.6369631144253,-26.809871666024186,23,True,2025-05-26,298,419530,1|Momentum,SL10+TR8,SAMG엔터
4720895.469907601,372.08954699076014,-17.98011672654527,3,True,2025-05-28,300,123330,1|Breakout,SL10+<SMA20,제닉
4436586.257940828,343.6586257940828,-16.807325949367105,2,True,2025-05-30,302,419530,1|Breakout,SL10+<SMA20,SAMG엔터
